scalerank	featurecla	labelrank	sovereignt	sov_a3	adm0_dif	level	type	admin	adm0_a3	geou_dif	geounit	gu_a3	su_dif	subunit	su_a3	brk_diff	name	name_long	brk_a3	brk_name	brk_group	abbrev	postal	formal_en	formal_fr	note_adm0	note_brk	name_sort	name_alt	mapcolor7	mapcolor8	mapcolor9	mapcolor13	pop_est	gdp_md_est	pop_year	lastcensus	gdp_year	economy	income_grp	wikipedia	fips_10	iso_a2	iso_a3	iso_n3	un_a3	wb_a2	wb_a3	woe_id	adm0_a3_is	adm0_a3_us	adm0_a3_un	adm0_a3_wb	continent	region_un	subregion	region_wb	name_len	long_len	abbrev_len	tiny	homepart	eleven	twelwe	thirteen	fourteen	fifteen	sixteen	seventeen	eighteen
1	Admin-0 country	4	United Arab Emirates	ARE	0	2	Sovereign country	United Arab Emirates	ARE	0	United Arab Emirates	ARE	0	United Arab Emirates	ARE	0	United Arab Emirates	United Arab Emirates	ARE	United Arab Emirates		U.A.E.	AE	United Arab Emirates				United Arab Emirates		2	1	3	3	4798491	184300	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		AE	ARE	784	784	AE	ARE	-99	ARE	ARE	-99	-99	Asia	Asia	Western Asia	Middle East & North Africa	20	20	6	-99	1	3,50666E+11	3,74591E+11	3,90108E+11	4,03137E+11	3,58E+11	3,57E+11	3,78E+11	4,14E+11
1	Admin-0 country	2	Argentina	ARG	0	2	Sovereign country	Argentina	ARG	0	Argentina	ARG	0	Argentina	ARG	0	Argentina	Argentina	ARG	Argentina		Arg.	AR	Argentine Republic				Argentina		3	1	3	13	40913584	573900	-99	2010	-99	5. Emerging region: G20	3. Upper middle income	-99		AR	ARG	32	32	AR	ARG	-99	ARG	ARG	-99	-99	South America	Americas	South America	Latin America & Caribbean	9	9	4	-99	1	5,30163E+11	5,45982E+11	5,52025E+11	5,2632E+11	5,95E+11	5,58E+11	6,43E+11	5,2E+11
1	Admin-0 country	6	Armenia	ARM	0	2	Sovereign country	Armenia	ARM	0	Armenia	ARM	0	Armenia	ARM	0	Armenia	Armenia	ARM	Armenia		Arm.	ARM	Republic of Armenia				Armenia		3	1	2	10	2967004	18770	-99	2001	-99	6. Developing region	4. Lower middle income	-99		AM	ARM	51	51	AM	ARM	-99	ARM	ARM	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	7	7	4	-99	1	10142111334	10619320048	11121465767	11609512939	10553337672	10546135160	11527458565	12433089919
3	Admin-0 country	4	United States of America	US1	1	2	Dependency	American Samoa	ASM	0	American Samoa	ASM	0	American Samoa	ASM	0	American Samoa	American Samoa	ASM	American Samoa		Am. Samoa	AS	American Samoa		U.S.A.		American Samoa		4	5	1	1	65628	575.3	-99	2010	-99	6. Developing region	3. Upper middle income	-99		AS	ASM	16	16	AS	ASM	-99	ASM	ASM	-99	-99	Oceania	Oceania	Polynesia	East Asia & Pacific	14	14	9	3	-99	574000000	644000000	641000000	642000000	661000000	652000000	602000000	636000000
1	Admin-0 country	4	Antarctica	ATA	0	2	Indeterminate	Antarctica	ATA	0	Antarctica	ATA	0	Antarctica	ATA	0	Antarctica	Antarctica	ATA	Antarctica		Ant.	AQ				Multiple claims held in abeyance	Antarctica		4	5	1	-99	3802	760.4	-99	-99	-99	6. Developing region	2. High income: nonOECD	-99		AQ	ATA	10	-99	-99	-99	-99	ATA	ATA	-99	-99	Antarctica	Antarctica	Antarctica	Antarctica	10	10	4	-99	1	0	0	0	0	0	0	0	0
3	Admin-0 country	6	France	FR1	1	2	Dependency	French Southern and Antarctic Lands	ATF	0	French Southern and Antarctic Lands	ATF	0	French Southern and Antarctic Lands	ATF	0	Fr. S. Antarctic Lands	French Southern and Antarctic Lands	ATF	Fr. S. and Antarctic Lands		Fr. S.A.L.	TF	Territory of the French Southern and Antarctic Lands		Fr.		French Southern and Antarctic Lands		7	5	9	11	140	16	-99	-99	-99	6. Developing region	2. High income: nonOECD	-99		TF	ATF	260	-99	-99	-99	-99	ATF	ATF	-99	-99	Seven seas (open ocean)	Seven seas (open ocean)	Seven seas (open ocean)	Sub-Saharan Africa	22	35	10	2	-99	0	0	0	0	0	0	0	0
1	Admin-0 country	6	Antigua and Barbuda	ATG	0	2	Sovereign country	Antigua and Barbuda	ATG	0	Antigua and Barbuda	ATG	0	Antigua and Barbuda	ATG	0	Antigua and Barb.	Antigua and Barbuda	ATG	Antigua and Barb.		Ant.B.	AG	Antigua and Barbuda				Antigua and Barbuda		2	2	5	5	85632	1657	-99	2011	-99	6. Developing region	3. Upper middle income	-99		AG	ATG	28	28	AG	ATG	-99	ATG	ATG	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	17	19	6	4	1	1137637037	1199948148	1181448148	1249733333	1336692592	1436585185	1467977777	1610574074
1	Admin-0 country	2	Australia	AU1	1	2	Country	Australia	AUS	0	Australia	AUS	0	Australia	AUS	0	Australia	Australia	AUS	Australia		Auz.	AU	Commonwealth of Australia				Australia		1	2	2	7	21262641	800200	-99	2006	-99	2. Developed region: nonG7	1. High income: OECD	-99		AU	AUS	36	36	AU	AUS	-99	AUS	AUS	-99	-99	Oceania	Oceania	Australia and New Zealand	East Asia & Pacific	9	9	4	-99	1	1,39665E+12	1,54615E+12	1,57618E+12	1,46748E+12	1,35E+12	1,21E+12	1,33E+12	1,43E+12
1	Admin-0 country	4	Austria	AUT	0	2	Sovereign country	Austria	AUT	0	Austria	AUT	0	Austria	AUT	0	Austria	Austria	AUT	Austria		Aust.	A	Republic of Austria				Austria		3	1	3	4	8210281	329500	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		AT	AUT	40	40	AT	AUT	-99	AUT	AUT	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	7	7	5	-99	1	4,3112E+11	4,09425E+11	4,30069E+11	4,41996E+11	3,82E+11	3,95E+11	4,17E+11	4,55E+11
1	Admin-0 country	5	Azerbaijan	AZE	0	2	Sovereign country	Azerbaijan	AZE	0	Azerbaijan	AZE	0	Azerbaijan	AZE	0	Azerbaijan	Azerbaijan	AZE	Azerbaijan		Aze.	AZ	Republic of Azerbaijan				Azerbaijan		1	6	5	8	8238672	77610	-99	2009	-99	6. Developing region	3. Upper middle income	-99		AZ	AZE	31	31	AZ	AZE	-99	AZE	AZE	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	10	10	4	-99	1	65951627200	69683935845	74164435946	75244294275	53074468085	37867518957	40865558912	46939529411
1	Admin-0 country	6	Burundi	BDI	0	2	Sovereign country	Burundi	BDI	0	Burundi	BDI	0	Burundi	BDI	0	Burundi	Burundi	BDI	Burundi		Bur.	BI	Republic of Burundi				Burundi		2	2	5	8	8988091	3102	-99	2008	-99	7. Least developed region	5. Low income	-99		BI	BDI	108	108	BI	BDI	-99	BDI	BDI	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	7	7	4	-99	1	2235820867	2333308099	2451625332	2705783272	3104394858	2959640987	3172292379	3036931818
1	Admin-0 country	2	Belgium	BEL	0	2	Sovereign country	Belgium	BEL	0	Belgium	BEL	0	Belgium	BEL	0	Belgium	Belgium	BEL	Belgium		Belg.	B	Kingdom of Belgium				Belgium		3	2	1	8	10414336	389300	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		BE	BEL	56	56	BE	BEL	-99	BEL	BEL	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	7	7	5	-99	1	5,22646E+11	4,96181E+11	5,21643E+11	5,34678E+11	4,62E+11	4,76E+11	5,03E+11	5,43E+11
1	Admin-0 country	5	Benin	BEN	0	2	Sovereign country	Benin	BEN	0	Benin	BEN	0	Benin	BEN	0	Benin	Benin	BEN	Benin		Benin	BJ	Republic of Benin				Benin		1	2	2	12	8791832	12830	-99	2002	-99	7. Least developed region	5. Low income	-99		BJ	BEN	204	204	BJ	BEN	-99	BEN	BEN	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	5	5	5	-99	1	10693321953	11141358945	12517845732	13284528654	11388160958	11821066152	12701656930	14250985958
1	Admin-0 country	3	Burkina Faso	BFA	0	2	Sovereign country	Burkina Faso	BFA	0	Burkina Faso	BFA	0	Burkina Faso	BFA	0	Burkina Faso	Burkina Faso	BFA	Burkina Faso		B.F.	BF	Burkina Faso				Burkina Faso		2	1	5	11	15746232	17820	-99	2006	-99	7. Least developed region	5. Low income	-99		BF	BFA	854	854	BF	BFA	-99	BFA	BFA	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	12	12	4	-99	1	10724063457	11166063466	11947176341	12377391462	10419303761	10867024151	12330338343	14124775068
1	Admin-0 country	3	Bangladesh	BGD	0	2	Sovereign country	Bangladesh	BGD	0	Bangladesh	BGD	0	Bangladesh	BGD	0	Bangladesh	Bangladesh	BGD	Bangladesh		Bang.	BD	People's Republic of Bangladesh				Bangladesh		3	4	7	7	156050883	224000	-99	2011	-99	7. Least developed region	5. Low income	-99		BD	BGD	50	50	BD	BGD	-99	BGD	BGD	-99	-99	Asia	Asia	Southern Asia	South Asia	10	10	5	-99	1	1,28638E+11	1,33356E+11	1,4999E+11	1,72885E+11	1,95E+11	2,21E+11	2,5E+11	2,74E+11
1	Admin-0 country	4	Bulgaria	BGR	0	2	Sovereign country	Bulgaria	BGR	0	Bulgaria	BGR	0	Bulgaria	BGR	0	Bulgaria	Bulgaria	BGR	Bulgaria		Bulg.	BG	Republic of Bulgaria				Bulgaria		4	5	1	8	7204687	93750	-99	2011	-99	2. Developed region: nonG7	3. Upper middle income	-99		BG	BGR	100	100	BG	BGR	-99	BGR	BGR	-99	-99	Europe	Europe	Eastern Europe	Europe & Central Asia	8	8	5	-99	1	57418414504	53903022339	55555171009	56814543481	50201314894	53240950226	58220973782	65132951116
1	Admin-0 country	4	Bahrain	BHR	0	2	Sovereign country	Bahrain	BHR	0	Bahrain	BHR	0	Bahrain	BHR	0	Bahrain	Bahrain	BHR	Bahrain		Bahr.	BH	Kingdom of Bahrain				Bahrain		1	1	1	9	727785	26820	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		BH	BHR	48	48	BH	BHR	-99	BHR	BHR	-99	-99	Asia	Asia	Western Asia	Middle East & North Africa	7	7	5	2	1	28776622340	30749335106	32539547872	33387686170	31125877659	32250132978	35432686170	37746196808
1	Admin-0 country	4	The Bahamas	BHS	0	2	Sovereign country	The Bahamas	BHS	0	The Bahamas	BHS	0	The Bahamas	BHS	0	Bahamas	Bahamas	BHS	Bahamas		Bhs.	BS	Commonwealth of the Bahamas				Bahamas, The		1	1	2	5	309156	9093	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		BS	BHS	44	44	BS	BHS	-99	BHS	BHS	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	7	7	4	-99	1	10070450000	10720500000	10562700000	10913300000	11752300000	11938400000	12150400000	12424500000
1	Admin-0 country	5	Bosnia and Herzegovina	BIH	0	2	Sovereign country	Bosnia and Herzegovina	BIH	0	Bosnia and Herzegovina	BIH	0	Bosnia and Herzegovina	BIH	0	Bosnia and Herz.	Bosnia and Herzegovina	BIH	Bosnia and Herz.		B.H.	BiH	Bosnia and Herzegovina				Bosnia and Herzegovina		1	1	1	2	4613414	29700	-99	1991	-99	6. Developing region	3. Upper middle income	-99		BA	BIH	70	70	BA	BIH	-99	BIH	BIH	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	16	22	4	-99	1	18644723860	17226849297	18178503835	18558343508	16211540686	16913330693	18080118128	20161865419
3	Admin-0 country	6	France	FR1	1	2	Dependency	Saint Barthelemy	BLM	0	Saint Barthelemy	BLM	0	Saint Barthelemy	BLM	0	St-Barthélemy	Saint-Barthélemy	BLM	St-Barthélemy		St. B.	BL	Saint-Barthélemy		Fr.		St-Barthélemy		7	5	9	11	7448	255	-99	-99	-99	2. Developed region: nonG7	1. High income: OECD	-99		BL	BLM	652	652	-99	-99	-99	BLM	BLM	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	13	16	6	4	-99	0	0	0	0	0	0	0	0
1	Admin-0 country	4	Belarus	BLR	0	2	Sovereign country	Belarus	BLR	0	Belarus	BLR	0	Belarus	BLR	0	Belarus	Belarus	BLR	Belarus		Bela.	BY	Republic of Belarus				Belarus		1	1	5	11	9648533	114100	-99	2009	-99	6. Developing region	3. Upper middle income	-99		BY	BLR	112	112	BY	BLR	-99	BLR	BLR	-99	-99	Europe	Europe	Eastern Europe	Europe & Central Asia	7	7	5	-99	1	61757788944	65685102554	75527984234	78813839984	56454734396	47722657820	54726595249	60031262269
1	Admin-0 country	6	Belize	BLZ	0	2	Sovereign country	Belize	BLZ	0	Belize	BLZ	0	Belize	BLZ	0	Belize	Belize	BLZ	Belize		Belize	BZ	Belize				Belize		1	4	5	7	307899	2536	-99	2010	-99	6. Developing region	4. Lower middle income	-99		BZ	BLZ	84	84	BZ	BLZ	-99	BLZ	BLZ	-99	-99	North America	Americas	Central America	Latin America & Caribbean	6	6	6	-99	1	1460800211	1522899789	1579413515	1662802599	1723785356	1775100178	1836593466	1871203164
3	Admin-0 country	6	United Kingdom	GB1	1	2	Dependency	Bermuda	BMU	0	Bermuda	BMU	0	Bermuda	BMU	0	Bermuda	Bermuda	BMU	Bermuda		Berm.	BM	The Bermudas or Somers Isles		U.K.		Bermuda		6	6	6	3	67837	4500	-99	2010	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		BM	BMU	60	60	BM	BMU	-99	BMU	BMU	-99	-99	North America	Americas	Northern America	North America	7	7	5	4	-99	0	0	0	0	0	0	0	0
1	Admin-0 country	3	Bolivia	BOL	0	2	Sovereign country	Bolivia	BOL	0	Bolivia	BOL	0	Bolivia	BOL	0	Bolivia	Bolivia	BOL	Bolivia		Bolivia	BO	Plurinational State of Bolivia				Bolivia		1	5	2	3	9775246	43270	-99	2001	-99	5. Emerging region: G20	4. Lower middle income	-99		BO	BOL	68	68	BO	BOL	-99	BOL	BOL	-99	-99	South America	Americas	South America	Latin America & Caribbean	7	7	7	-99	1	23963033588	27084497539	30659338784	32996188133	33000198263	33941126193	37508642257	40287647756
1	Admin-0 country	2	Brazil	BRA	0	2	Sovereign country	Brazil	BRA	0	Brazil	BRA	0	Brazil	BRA	0	Brazil	Brazil	BRA	Brazil		Brazil	BR	Federative Republic of Brazil				Brazil		5	6	5	7	198739269	1993000	-99	2010	-99	3. Emerging region: BRIC	3. Upper middle income	-99		BR	BRA	76	76	BR	BRA	-99	BRA	BRA	-99	-99	South America	Americas	South America	Latin America & Caribbean	6	6	6	-99	1	2,6162E+12	2,46519E+12	2,47281E+12	2,45599E+12	1,8E+12	1,8E+12	2,06E+12	1,89E+12
1	Admin-0 country	5	Barbados	BRB	0	2	Sovereign country	Barbados	BRB	0	Barbados	BRB	0	Barbados	BRB	0	Barbados	Barbados	BRB	Barbados		Barb.	BB	Barbados				Barbados		4	1	5	3	284589	5425	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		BB	BRB	52	52	BB	BRB	-99	BRB	BRB	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	8	8	5	3	1	4657699450	4610096000	4677248300	4696344350	4725500000	4840500000	4989500000	5145000000
1	Admin-0 country	6	Brunei	BRN	0	2	Sovereign country	Brunei	BRN	0	Brunei	BRN	0	Brunei	BRN	0	Brunei	Brunei Darussalam	BRN	Brunei		Brunei	BN	Negara Brunei Darussalam				Brunei		4	6	6	12	388190	20250	-99	2001	-99	6. Developing region	2. High income: nonOECD	-99		BN	BRN	96	96	BN	BRN	-99	BRN	BRN	-99	-99	Asia	Asia	South-Eastern Asia	East Asia & Pacific	6	17	6	2	1	18525319977	19048495518	18093829923	17098342541	12930394937	11400854267	12128104859	13567351175
1	Admin-0 country	5	Bhutan	BTN	0	2	Sovereign country	Bhutan	BTN	0	Bhutan	BTN	0	Bhutan	BTN	0	Bhutan	Bhutan	BTN	Bhutan		Bhutan	BT	Kingdom of Bhutan				Bhutan		5	6	1	8	691141	3524	-99	2005	-99	7. Least developed region	4. Lower middle income	-99		BT	BTN	64	64	BT	BTN	-99	BTN	BTN	-99	-99	Asia	Asia	Southern Asia	South Asia	6	6	6	-99	1	1777101316	1781281280	1756215665	1907090812	2003598213	2158972128	2450364928	2446674101
1	Admin-0 country	4	Botswana	BWA	0	2	Sovereign country	Botswana	BWA	0	Botswana	BWA	0	Botswana	BWA	0	Botswana	Botswana	BWA	Botswana		Bwa.	BW	Republic of Botswana				Botswana		6	5	7	3	1990876	27060	-99	2011	-99	6. Developing region	3. Upper middle income	-99		BW	BWA	72	72	BW	BWA	-99	BWA	BWA	-99	-99	Africa	Africa	Southern Africa	Sub-Saharan Africa	8	8	4	-99	1	15351972229	16067155187	14901750764	16250750259	14420604205	15646316818	17405538618	18616018903
1	Admin-0 country	4	Central African Republic	CAF	0	2	Sovereign country	Central African Republic	CAF	0	Central African Republic	CAF	0	Central African Republic	CAF	0	Central African Rep.	Central African Republic	CAF	Central African Rep.		C.A.R.	CF	Central African Republic				Central African Republic		5	6	6	9	4511488	3198	-99	2003	-99	7. Least developed region	5. Low income	-99		CF	CAF	140	140	CF	CAF	-99	CAF	CAF	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	20	24	6	-99	1	2434792412	2510270267	1691063476	1892292911	1695143879	1823779165	2067230996	2219894701
1	Admin-0 country	2	Canada	CAN	0	2	Sovereign country	Canada	CAN	0	Canada	CAN	0	Canada	CAN	0	Canada	Canada	CAN	Canada		Can.	CA	Canada				Canada		6	6	2	2	33487208	1300000	-99	2011	-99	1. Developed region: G7	1. High income: OECD	-99		CA	CAN	124	124	CA	CAN	-99	CAN	CAN	-99	-99	North America	Americas	Northern America	North America	6	6	4	-99	1	1,78914E+12	1,82397E+12	1,84202E+12	1,80148E+12	1,55E+12	1,53E+12	1,65E+12	1,71E+12
1	Admin-0 country	4	Switzerland	CHE	0	2	Sovereign country	Switzerland	CHE	0	Switzerland	CHE	0	Switzerland	CHE	0	Switzerland	Switzerland	CHE	Switzerland		Switz.	CH	Swiss Confederation				Switzerland		5	2	7	3	7604467	316700	-99	2010	-99	2. Developed region: nonG7	1. High income: OECD	-99		CH	CHE	756	756	CH	CHE	-99	CHE	CHE	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	11	11	6	-99	1	6,9958E+11	6,68043E+11	6,88504E+11	7,09182E+11	6,8E+11	6,71E+11	6,8E+11	7,05E+11
1	Admin-0 country	2	Chile	CHL	0	2	Sovereign country	Chile	CHL	0	Chile	CHL	0	Chile	CHL	0	Chile	Chile	CHL	Chile		Chile	CL	Republic of Chile				Chile		5	1	5	9	16601707	244500	-99	2002	-99	5. Emerging region: G20	3. Upper middle income	-99		CL	CHL	152	152	CL	CHL	-99	CHL	CHL	-99	-99	South America	Americas	South America	Latin America & Caribbean	5	5	5	-99	1	2,52252E+11	2,67122E+11	2,78384E+11	2,60542E+11	2,44E+11	2,5E+11	2,78E+11	2,98E+11
1	Admin-0 country	2	China	CH1	1	2	Country	China	CHN	0	China	CHN	0	China	CHN	0	China	China	CHN	China		China	CN	People's Republic of China				China		4	4	4	3	1338612970	7973000	-99	2010	-99	3. Emerging region: BRIC	3. Upper middle income	-99		CN	CHN	156	156	CN	CHN	-99	CHN	CHN	-99	-99	Asia	Asia	Eastern Asia	East Asia & Pacific	5	5	5	-99	1	7,5515E+12	8,53223E+12	9,57041E+12	1,04385E+13	1,1E+13	1,11E+13	1,21E+13	1,36E+13
